<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.28	06:00:00	42336.81	42337.81	42333.81	42334.81	29	0	258
2025.03.28	06:01:00	42334.81	42335.81	42333.81	42333.81	17	0	258
2025.03.28	06:02:00	42334.31	42339.81	42333.81	42339.31	23	0	258
2025.03.28	06:03:00	42338.31	42338.31	42335.31	42337.31	14	0	258
2025.03.28	06:04:00	42336.81	42337.81	42335.31	42335.81	14	0	258
2025.03.28	06:05:00	42335.81	42339.41	42335.81	42339.41	17	0	248
2025.03.28	06:06:00	42339.91	42340.41	42335.91	42337.41	27	0	248
2025.03.28	06:07:00	42336.91	42336.91	42335.91	42336.41	6	0	248
2025.03.28	06:08:00	42336.41	42336.41	42333.91	42335.41	13	0	248
2025.03.28	06:09:00	42336.41	42336.41	42334.91	42334.91	5	0	238
2025.03.28	06:10:00	42333.91	42334.41	42333.41	42333.91	9	0	238
2025.03.28	06:11:00	42334.41	42335.41	42333.41	42334.91	13	0	238
2025.03.28	06:12:00	42333.91	42338.41	42333.91	42337.41	19	0	238
2025.03.28	06:13:00	42337.91	42337.91	42335.91	42336.41	10	0	238
2025.03.28	06:14:00	42336.91	42339.91	42336.91	42339.91	4	0	238
2025.03.28	06:15:00	42338.91	42339.91	42335.41	42335.41	15	0	238
2025.03.28	06:16:00	42335.41	42336.91	42334.91	42336.91	9	0	238
2025.03.28	06:17:00	42338.41	42338.41	42335.91	42336.91	6	0	238
2025.03.28	06:18:00	42337.41	42338.41	42336.41	42337.41	16	0	238
2025.03.28	06:19:00	42336.91	42337.41	42335.91	42335.91	14	0	238
2025.03.28	06:20:00	42335.91	42338.41	42335.91	42336.91	23	0	238
2025.03.28	06:21:00	42337.41	42341.91	42337.41	42341.91	11	0	248
2025.03.28	06:22:00	42341.91	42341.91	42340.41	42340.91	6	0	248
2025.03.28	06:23:00	42341.41	42343.91	42340.91	42340.91	19	0	248
2025.03.28	06:24:00	42342.41	42342.41	42339.91	42339.91	12	0	248
2025.03.28	06:25:00	42339.91	42342.41	42339.81	42339.91	11	0	248
2025.03.28	06:26:00	42339.91	42342.41	42339.91	42342.41	8	0	248
2025.03.28	06:27:00	42341.91	42343.91	42340.91	42343.91	16	0	248
2025.03.28	06:28:00	42343.41	42343.41	42341.91	42342.41	9	0	248
2025.03.28	06:29:00	42343.41	42344.41	42342.41	42342.91	15	0	248
2025.03.28	06:30:00	42343.41	42347.81	42342.41	42347.31	32	0	248
2025.03.28	06:31:00	42346.81	42350.31	42345.81	42349.31	37	0	258
2025.03.28	06:32:00	42348.31	42348.81	42343.81	42344.31	19	0	258
2025.03.28	06:33:00	42344.31	42345.31	42343.31	42344.31	16	0	258
2025.03.28	06:34:00	42343.81	42346.31	42342.81	42343.31	24	0	258
2025.03.28	06:35:00	42342.81	42344.81	42337.81	42337.81	22	0	258
2025.03.28	06:36:00	42336.81	42339.81	42333.31	42333.81	25	0	258
2025.03.28	06:37:00	42332.81	42332.81	42330.31	42330.31	11	0	258
2025.03.28	06:38:00	42330.81	42332.81	42323.31	42330.81	27	0	258
2025.03.28	06:39:00	42331.31	42333.81	42330.81	42333.81	9	0	268
2025.03.28	06:40:00	42333.81	42335.31	42332.31	42334.81	30	0	268
2025.03.28	06:41:00	42334.81	42339.81	42334.81	42336.31	19	0	268
2025.03.28	06:42:00	42336.31	42336.31	42331.81	42333.81	18	0	268
2025.03.28	06:43:00	42333.81	42335.31	42333.31	42334.81	13	0	258
2025.03.28	06:44:00	42335.81	42336.31	42334.81	42336.31	10	0	258
2025.03.28	06:45:00	42336.81	42339.81	42336.31	42339.81	13	0	258
2025.03.28	06:46:00	42339.91	42340.91	42332.81	42337.81	29	0	248
2025.03.28	06:47:00	42337.31	42341.81	42337.31	42341.81	13	0	258
2025.03.28	06:48:00	42341.81	42344.31	42341.81	42343.81	8	0	258
2025.03.28	06:49:00	42343.81	42345.81	42343.81	42345.31	6	0	258
2025.03.28	06:50:00	42344.81	42344.91	42340.81	42342.81	8	0	248
2025.03.28	06:51:00	42343.31	42346.91	42342.81	42345.41	15	0	248
2025.03.28	06:52:00	42344.91	42345.91	42343.91	42343.91	8	0	248
2025.03.28	06:53:00	42344.41	42345.91	42343.91	42344.91	7	0	248
2025.03.28	06:54:00	42344.41	42346.41	42344.41	42346.41	16	0	248
2025.03.28	06:55:00	42346.31	42347.91	42345.81	42347.91	22	0	248
2025.03.28	06:56:00	42348.91	42351.91	42348.91	42351.91	7	0	248
